Ingredient_Name,Primary_Function,Ingredient_Category,Product_Categories,Origin,Safety_Level,Allergy_Risk,Irritation_Risk,Regulatory_Status,Packaging Names / Alternate Names
Alpha Lipoic Acid,Antioxidant,Antioxidant,"Serum, Anti-Aging Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Ergothioneine,Antioxidant,Antioxidant,"Serum, Anti-Aging Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Phenoxyethanol,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Restricted,No Alternate Names
Methylparaben,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,Medium,Low,Restricted,No Alternate Names
Propylparaben,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,Medium,Low,Restricted,No Alternate Names
Butylparaben,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,Medium,Low,Restricted,No Alternate Names
Ethylparaben,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,Medium,Low,Restricted,No Alternate Names
Sodium Benzoate,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Potassium Sorbate,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Benzyl Alcohol,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Chlorphenesin,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Sodium Dehydroacetate,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Dehydroacetic Acid,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Imidazolidinyl Urea,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Diazolidinyl Urea,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
DMDM Hydantoin,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Methylisothiazolinone,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,High,Medium,Restricted,No Alternate Names
Methylchloroisothiazolinone,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Moderate Risk,High,Medium,Restricted,No Alternate Names
Benzoic Acid,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Sorbic Acid,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Ethylhexylglycerin,Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
"1,2-Hexanediol",Preservative,Preservative,"Face Wash, Moisturizer, Shampoo, Cream, Serum, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Chlorhexidine Digluconate,Antimicrobial,Preservative,"Hand Sanitizer, Mouthwash, Intimate Wash",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Triclosan,Antimicrobial,Preservative,"Toothpaste, Hand Wash, Deodorant",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Triclocarban,Antimicrobial,Preservative,"Soap, Hand Wash",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Silver Citrate,Antimicrobial,Preservative,"Deodorant, Wet Wipes",Mineral,Safe,Low,Low,Approved,No Alternate Names
Leuconostoc/Radish Root Ferment Filtrate,Preservative Booster,Preservative,"Serum, Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Lactobacillus Ferment,Preservative Booster,Preservative,"Serum, Toner",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Glyceryl Undecylenate,Preservative Booster,Preservative,"Deodorant, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
p-Anisic Acid,Preservative Booster,Preservative,"Serum, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Levulinate,Preservative Booster,Preservative,"Serum, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Anisate,Preservative Booster,Preservative,"Serum, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Disodium EDTA,Chelating Agent,Chelating Agent,"Shampoo, Cream, Face Wash",Synthetic,Safe,Low,Low,Approved,Disodium Ethylenediaminetetraacetate
Tetrasodium EDTA,Chelating Agent,Chelating Agent,"Shampoo, Cream",Synthetic,Safe,Low,Low,Approved,Tetrasodium Ethylenediaminetetraacetate
Trisodium EDTA,Chelating Agent,Chelating Agent,"Cream, Serum",Synthetic,Safe,Low,Low,Approved,Trisodium Ethylenediaminetetraacetate
Sodium Phytate,Chelating Agent,Chelating Agent,"Serum, Natural Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Etidronic Acid,Chelating Agent,Chelating Agent,"Shampoo, Soap",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Citric Acid,pH Adjuster,Acid,"Face Wash, Shampoo, Serum, Toner",Naturally Derived,Very Safe,Low,Low,Approved,No Alternate Names
Sodium Citrate,Buffer,Salt,"Face Wash, Shampoo",Synthetic,Very Safe,Low,No Risk,Approved,No Alternate Names
Sodium Hydroxide,pH Adjuster,Alkali,"Soap, Face Wash, Cream",Synthetic,Moderate Risk,Low,High,Approved,No Alternate Names
Potassium Hydroxide,pH Adjuster,Alkali,"Liquid Soap, Shaving Cream",Synthetic,Moderate Risk,Low,High,Approved,No Alternate Names
Triethanolamine,pH Adjuster,Amine,"Cream, Lotion",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Aminomethyl Propanol,pH Adjuster,Amine,"Cream, Gel",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Lactic Acid,pH Adjuster,Acid,"Toner, Serum, Peel",Naturally Derived,Safe,Low,Medium,Approved,No Alternate Names
Sodium Bicarbonate,pH Adjuster,Salt,"Toothpaste, Deodorant, Bath Products",Mineral,Safe,Low,Low,Approved,No Alternate Names
Phosphoric Acid,pH Adjuster,Acid,"Toner, Serum",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Potassium Citrate,Buffer,Salt,"Toner, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
PVP,Film Former,Polymer,"Hair Gel, Hair Spray, Mascara",Synthetic,Safe,Low,No Risk,Approved,Polyvinylpyrrolidone; Povidone
PVP/VA Copolymer,Film Former,Polymer,"Hair Gel, Hair Spray",Synthetic,Safe,Low,No Risk,Approved,Polyvinylpyrrolidone/Vinyl Acetate Copolymer
Polyquaternium-7,Conditioning Agent,Polymer,"Shampoo, Conditioner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyquaternium-10,Conditioning Agent,Polymer,"Shampoo, Conditioner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyquaternium-11,Film Former,Polymer,"Hair Gel, Hair Spray",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Acrylates Copolymer,Film Former,Polymer,"Mascara, Nail Polish, Hair Gel",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Carbomer,Thickener,Polymer,"Gel, Serum, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Thickener,Polymer,"Gel, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Xanthan Gum,Thickener,Polymer,"Serum, Cream, Toothpaste",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Hydroxyethylcellulose,Thickener,Polymer,"Gel, Shampoo",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Hydroxypropyl Methylcellulose,Thickener,Polymer,"Gel, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Polyacrylate,Thickener,Polymer,"Diaper, Sanitary Pads, Cream",Synthetic,Safe,Low,No Risk,Approved,Superabsorbent Polymer
Sclerotium Gum,Thickener,Polymer,"Serum, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Cellulose Gum (Sodium Carboxymethyl Cellulose),Thickener,Polymer,"Toothpaste, Cream",Naturally Derived,Safe,Low,No Risk,Approved,Sodium Carboxymethyl Cellulose
Guar Gum,Thickener,Polymer,"Shampoo, Conditioner",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
PEG-150 Distearate,Thickener,Polymer,"Shampoo, Body Wash",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Chloride,Thickener,Salt,"Shampoo, Body Wash, Toothpaste",Mineral,Very Safe,No Risk,Low,Approved,Salt
Magnesium Aluminum Silicate,Thickener,Mineral,"Cream, Sunscreen",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Hectorite,Thickener,Mineral,"Cream, Mask",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Bentonite,Thickener,Mineral,"Face Mask, Face Pack",Mineral,Safe,Low,Low,Approved,No Alternate Names
CI 77891 (Titanium Dioxide),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,No Alternate Names
CI 19140 (Yellow 5),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Yellow 5
CI 16035 (Red 40),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Red 40
CI 42090 (Blue 1),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Blue 1
CI 77491 (Iron Oxide Red),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Iron Oxide Red
CI 77492 (Iron Oxide Yellow),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Iron Oxide Yellow
CI 77499 (Iron Oxide Black),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Iron Oxide Black
Mica,Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,No Alternate Names
Ultramarines (CI 77007),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,CI 77007
Bismuth Oxychloride (CI 77163),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,CI 77163
CI 15850 (Red 6/7),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Red 6/7
CI 45410 (Red 27/28),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Red 27/28
CI 77510 (Ferric Ferrocyanide),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Ferric Ferrocyanide
CI 77288 (Chromium Oxide Green),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Chromium Oxide Green
CI 77289 (Chromium Hydroxide Green),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Chromium Hydroxide Green
CI 15985 (Yellow 6),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Yellow 6
CI 14700 (Red 4),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Red 4
CI 73015 (Blue 2),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Blue 2
CI 77120 (Barium Sulfate),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Barium Sulfate
CI 77163 (Bismuth Oxychloride),Colorant,Pigment,"Foundation, Lipstick, Eyeshadow, Blush",Mineral,Safe,Low,Low,Approved,Bismuth Oxychloride
Parfum (Fragrance),Fragrance,Fragrance,"Perfume, Body Mist, Deodorant, Lotion, Shampoo",Synthetic,Moderate Risk,High,Medium,Approved,Fragrance
Linalool,Fragrance,Fragrance Allergen,"Perfume, Lotion, Shampoo",Naturally Derived,Safe,Medium,Low,Approved,No Alternate Names
Limonene,Fragrance,Fragrance Allergen,"Perfume, Body Wash, Deodorant",Naturally Derived,Safe,Medium,Low,Approved,No Alternate Names
Citronellol,Fragrance,Fragrance Allergen,"Perfume, Lotion",Naturally Derived,Safe,Medium,Low,Approved,No Alternate Names
Geraniol,Fragrance,Fragrance Allergen,"Perfume, Shampoo",Naturally Derived,Safe,Medium,Low,Approved,No Alternate Names
Eugenol,Fragrance,Fragrance Allergen,"Toothpaste, Mouthwash, Perfume",Naturally Derived,Safe,Medium,Low,Approved,No Alternate Names
Benzyl Salicylate,Fragrance,Fragrance Allergen,"Perfume, Body Mist",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Hexyl Cinnamal,Fragrance,Fragrance Allergen,"Perfume, Lotion",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Coumarin,Fragrance,Fragrance Allergen,"Perfume, Deodorant",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Menthol,Cooling Agent,Cooling Agent,"Shampoo, Toothpaste, After Shave, Body Wash",Naturally Derived,Safe,Low,Medium,Approved,No Alternate Names
Menthyl Lactate (Frescolat),Cooling Agent,Cooling Agent,"Aftershave, Gel",Synthetic,Safe,Low,Low,Approved,Frescolat
Camphor,Cooling Agent,Cooling Agent,"Balm, Chest Rub, Aftershave",Naturally Derived,Moderate Risk,Low,Medium,Restricted,No Alternate Names
WS-23 (Cooling Agent),Cooling Agent,Cooling Agent,"Aftershave, Deodorant",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Salicylic Acid,Anti-Acne Agent,Acid,"Face Wash, Serum, Anti-Acne Products, Toner",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Benzoyl Peroxide,Anti-Acne Agent,Antimicrobial,"Anti-Acne Products, Face Wash",Synthetic,Moderate Risk,Medium,High,Approved,No Alternate Names
Zinc PCA,Anti-Acne Agent,Mineral,"Anti-Acne Products, Toner",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Sulfur,Anti-Acne Agent,Mineral,"Face Mask, Anti-Acne Products",Mineral,Moderate Risk,Medium,Medium,Approved,Sulphur
Azelaic Acid,Anti-Acne Agent,Acid,"Serum, Anti-Acne Products",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Bakuchiol,Anti-Aging Agent,Botanical Extract,"Serum, Night Cream",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Adenosine,Anti-Aging Agent,Nucleoside,"Serum, Eye Cream, Night Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Glycolic Acid,Exfoliant,Acid,"Peel, Serum, Toner",Synthetic,Moderate Risk,Medium,High,Approved,Hydroxyacetic Acid
Mandelic Acid,Exfoliant,Acid,"Serum, Peel",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Malic Acid,Exfoliant,Acid,"Peel, Serum, Toner",Naturally Derived,Safe,Low,Medium,Approved,No Alternate Names
Tartaric Acid,Exfoliant,Acid,"Peel, Serum",Naturally Derived,Safe,Low,Medium,Approved,No Alternate Names
Gluconolactone (PHA),Exfoliant,Acid,"Serum, Toner",Synthetic,Safe,Low,Low,Approved,PHA
Lactobionic Acid,Exfoliant,Acid,"Serum, Toner",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Kojic Acid,Brightening Agent,Acid,"Serum, Brightening Cream",Biotechnology Derived,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Alpha-Arbutin,Brightening Agent,Botanical Derivative,"Serum, Brightening Cream",Biotechnology Derived,Safe,Low,Low,Approved,No Alternate Names
Arbutin,Brightening Agent,Botanical Derivative,"Serum, Brightening Cream",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Tranexamic Acid,Brightening Agent,Acid,"Serum, Brightening Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Hexylresorcinol,Brightening Agent,Phenol,"Serum, Eye Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Ectoin,Anti-Aging Agent,Amino Acid Derivative,"Serum, Moisturizer, After Sun Gel",Biotechnology Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Madecassoside,Anti-Inflammatory Agent,Botanical Derivative,"Serum, Cream, After Sun Gel",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Asiaticoside,Anti-Inflammatory Agent,Botanical Derivative,"Serum, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Allantoin,Soothing Agent,Botanical Derivative,"Baby Lotion, Cream, After Sun Gel",Synthetic,Very Safe,Low,No Risk,Approved,No Alternate Names
Bisabolol,Soothing Agent,Botanical Derivative,"Serum, Baby Cream, After Sun Gel",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Snail Secretion Filtrate,Anti-Aging Agent,Animal Derivative,"Serum, Cream",Animal Derived,Safe,Low,Low,Approved,No Alternate Names
Zinc Pyrithione,Anti-Dandruff Agent,Antimicrobial,"Anti-Dandruff Shampoo, Scalp Serum",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Piroctone Olamine,Anti-Dandruff Agent,Antimicrobial,"Anti-Dandruff Shampoo, Scalp Serum",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Selenium Sulfide,Anti-Dandruff Agent,Antimicrobial,Anti-Dandruff Shampoo,Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
Climbazole,Anti-Dandruff Agent,Antimicrobial,Anti-Dandruff Shampoo,Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Ketoconazole,Anti-Dandruff Agent,Antifungal,Anti-Dandruff Shampoo,Synthetic,Moderate Risk,Low,Medium,Restricted,No Alternate Names
Coal Tar,Anti-Dandruff Agent,Antimicrobial,Anti-Dandruff Shampoo,Synthetic,Moderate Risk,Medium,Medium,Country Restricted,No Alternate Names
Sodium Fluoride,Oral Care Ingredient,Mineral,"Toothpaste, Mouthwash",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Stannous Fluoride,Oral Care Ingredient,Mineral,Toothpaste,Synthetic,Safe,Low,Low,Approved,No Alternate Names
Sodium Monofluorophosphate,Oral Care Ingredient,Mineral,Toothpaste,Synthetic,Safe,Low,Low,Approved,No Alternate Names
Hydrated Silica,Abrasive,Mineral,Toothpaste,Mineral,Safe,Low,Low,Approved,No Alternate Names
Cetylpyridinium Chloride,Antimicrobial,Oral Care Ingredient,"Mouthwash, Breath Freshener",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Zinc Citrate,Oral Care Ingredient,Mineral,"Toothpaste, Mouthwash",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Potassium Nitrate,Oral Care Ingredient,Mineral,Sensitivity Toothpaste,Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Saccharin,Sweetener,Sweetener,"Toothpaste, Mouthwash",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Calcium Carbonate,Abrasive,Mineral,"Tooth Powder, Toothpaste",Mineral,Safe,Low,Low,Approved,No Alternate Names
Sodium Bicarbonate (Baking Soda),Abrasive,Mineral,"Toothpaste, Tooth Powder",Mineral,Safe,Low,Medium,Approved,Baking Soda
Miswak Extract (Salvadora Persica),Oral Care Ingredient,Botanical Extract,"Toothpaste, Tooth Powder",Natural,Safe,Low,No Risk,Approved,Salvadora Persica
Clove Oil (Syzygium Aromaticum),Oral Care Ingredient,Essential Oil,"Toothpaste, Mouthwash",Natural,Moderate Risk,Medium,Medium,Approved,Syzygium Aromaticum
Xylitol (Oral Care),Sweetener,Sugar,"Toothpaste, Mouthwash, Chewing Gum",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Erythritol,Sweetener,Sugar,"Toothpaste, Mouthwash",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Sodium Lauryl Sulfoacetate (Oral),Surfactant,Surfactant,Toothpaste,Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Cellulose Gum (Oral Care),Thickener,Polymer,Toothpaste,Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Titanium Dioxide (Oral Care),Colorant,Pigment,Toothpaste,Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Papain,Exfoliant,Enzyme,"Face Scrub, Enzyme Peel",Natural,Safe,Medium,Medium,Approved,No Alternate Names
Bromelain,Exfoliant,Enzyme,"Face Scrub, Enzyme Peel",Natural,Safe,Medium,Medium,Approved,No Alternate Names
Protease,Exfoliant,Enzyme,"Cleanser, Peel",Biotechnology Derived,Safe,Low,Low,Approved,No Alternate Names
Lipase,Conditioning Agent,Enzyme,Cleansing Balm,Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Amylase,Exfoliant,Enzyme,Cleanser,Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Kaolin,Absorbent,Mineral,"Face Mask, Face Pack, Compact Powder",Mineral,Very Safe,Low,No Risk,Approved,No Alternate Names
Talc,Absorbent,Mineral,"Baby Powder, Compact Powder, Body Powder",Mineral,Moderate Risk,Low,Low,Country Restricted,Talcum
Silica,Absorbent,Mineral,"Primer, Foundation, Toothpaste",Mineral,Safe,Low,No Risk,Approved,Silicon Dioxide
Magnesium Sulfate (Epsom Salt),Thickener,Mineral,"Bath Salt, Body Scrub",Mineral,Safe,Low,Low,Approved,Epsom Salt
Dead Sea Salt,Exfoliant,Mineral,"Body Scrub, Bath Products",Mineral,Safe,Low,Low,Approved,No Alternate Names
Zea Mays Starch (Corn Starch),Absorbent,Starch,"Baby Powder, Dry Shampoo",Natural,Safe,Low,No Risk,Approved,Corn Starch
Oryza Sativa Starch (Rice Starch),Absorbent,Starch,"Baby Powder, Compact Powder",Natural,Safe,Low,No Risk,Approved,Rice Starch
Magnesium Stearate,Binder,Mineral,"Compact Powder, Eyeshadow",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Zinc Stearate,Binder,Mineral,"Baby Powder, Compact Powder",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Boron Nitride,Texturizer,Mineral,"Foundation, Primer",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Nylon-12,Texturizer,Polymer,"Foundation, Primer",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Ceramide NP,Skin-Repairing Agent,Lipid,"Moisturizer, Serum, Night Cream",Biotechnology Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Ceramide AP,Skin-Repairing Agent,Lipid,"Moisturizer, Serum",Biotechnology Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Ceramide EOP,Skin-Repairing Agent,Lipid,"Moisturizer, Serum",Biotechnology Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Ceramide 3,Skin-Repairing Agent,Lipid,"Moisturizer, Night Cream",Biotechnology Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Phytosphingosine,Skin-Repairing Agent,Lipid,"Moisturizer, Serum",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sphingolipids,Skin-Repairing Agent,Lipid,"Moisturizer, Serum",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Cholesterol,Skin-Repairing Agent,Lipid,"Moisturizer, Night Cream",Animal Derived,Safe,Low,No Risk,Approved,No Alternate Names
Nitrocellulose,Film Former,Polymer,Nail Polish,Synthetic,Moderate Risk,Low,Low,Approved,No Alternate Names
Toluenesulfonamide/Formaldehyde Resin,Film Former,Polymer,Nail Polish,Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Dibutyl Phthalate,Plasticizer,Polymer,Nail Polish,Synthetic,Moderate Risk,Medium,Low,Restricted,No Alternate Names
Acetone,Solvent,Solvent,Nail Polish Remover,Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
Ethyl Acetate,Solvent,Solvent,"Nail Polish, Nail Polish Remover",Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
Butyl Acetate,Solvent,Solvent,Nail Polish,Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
Tosylamide/Formaldehyde Resin,Film Former,Polymer,Nail Polish,Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Adipic Acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer,Film Former,Polymer,Nail Polish,Synthetic,Safe,Low,Low,Approved,No Alternate Names
Stearalkonium Bentonite,Thickener,Mineral,Nail Polish,Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Trimethyl Pentanyl Diisobutyrate,Plasticizer,Emollient,Nail Polish,Synthetic,Safe,Low,Low,Approved,No Alternate Names
Camphor (Nail Care),Plasticizer,Botanical Derivative,Nail Polish,Naturally Derived,Moderate Risk,Low,Medium,Restricted,No Alternate Names
Hydroxypropyl Cellulose,Film Former,Polymer,Nail Strengthener,Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Calcium Pantothenate (Nail),Conditioning Agent,Vitamin,"Nail Strengthener, Cuticle Oil",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Aluminum Chlorohydrate,Antiperspirant,Mineral Salt,"Deodorant, Antiperspirant, Roll-on",Mineral,Safe,Low,Medium,Approved,No Alternate Names
Aluminum Zirconium Tetrachlorohydrex Gly,Antiperspirant,Mineral Salt,"Antiperspirant, Roll-on",Mineral,Safe,Low,Medium,Approved,No Alternate Names
Zinc Ricinoleate,Odor Neutralizer,Fatty Acid Salt,Deodorant,Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Farnesol,Antimicrobial,Fragrance Allergen,"Deodorant, Perfume",Naturally Derived,Safe,Medium,Low,Approved,No Alternate Names
Sodium Bicarbonate (Deodorant),Odor Neutralizer,Mineral,Deodorant,Mineral,Safe,Low,Medium,Approved,No Alternate Names
Potassium Alum,Antiperspirant,Mineral Salt,"Deodorant, Alum Stick",Mineral,Safe,Low,Low,Approved,No Alternate Names
p-Phenylenediamine (PPD),Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,High,Restricted,PPD
Resorcinol,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Ammonia,Alkalizing Agent,Alkali,"Hair Color, Hair Dye",Synthetic,Moderate Risk,Low,High,Approved,No Alternate Names
Hydrogen Peroxide,Oxidizing Agent,Oxidizer,"Hair Color, Hair Dye, Teeth Whitening",Synthetic,Moderate Risk,Low,High,Restricted,No Alternate Names
"Toluene-2,5-Diamine",Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,Moderate Risk,High,Medium,Restricted,No Alternate Names
